,Unnamed: 0,links,names,ratings,price for one,cuisine,no of cisine,delivery time,location,outlets,home_delivery,takeaway_available,vegetarian_only,indoor_seating
731,731,https://www.zomato.com/hyderabad/zing-sky-bar-lounge-banjara-hills,ZING - Sky Bar + Lounge,-,"₹1,000 for one","Finger Food, North Indian, Asian, Pizza",4,Opens tomorrow at 12noon,"Hyatt Place, Banjara Hills, Hyderabad",0,yes,yes,no,no
732,732,https://www.zomato.com/hyderabad/iq-lounge-bar-mercure-hyderabad-kcp-banjara-hills,IQ Lounge Bar - Mercure Hyderabad KCP,-,₹750 for one,Finger Food,1,Opens tomorrow at 12noon,"Mercure Hyderabad KCP, Banjara Hills, Hyderabad",0,no,no,no,yes
733,733,https://www.zomato.com/hyderabad/dosa-licious-hitech-city,Dosa Licious,-,₹100 for one,South Indian,1,Opens tomorrow at 12noon,"Inorbit Mall, Hitech City, Hyderabad",37,no,yes,no,no
734,734,https://www.zomato.com/hyderabad/fries-cones-rajendra-nagar,Fries & Cones,3.8,₹200 for one,"Fast Food, Beverages, Shake, Waffle, Burger",5,Opens tomorrow at 12noon,"Mantra Mall, Attapur , Hyderabad",9,yes,yes,no,no
735,735,https://www.zomato.com/hyderabad/health-lovers-2-banjara-hills,Health Lovers,-,₹200 for one,"Healthy Food, Fast Food, Juices",3,Closes in 1 hour 37 minutes,"City Center Mall, Banjara Hills, Hyderabad",6,yes,yes,no,no
736,736,https://www.zomato.com/hyderabad/four-ounces-khairatabad,Four Ounces,4.0,₹400 for one,"Bakery, Desserts",2,Opens tomorrow at 11am,"Khairatabad, Hyderabad",0,yes,yes,no,no
737,737,https://www.zomato.com/hyderabad/pizza-king-mehdipatnam,Pizza King,New,₹100 for one,Pizza,1,Opens tomorrow at 11am,"Mehdipatnam, Hyderabad",0,no,no,no,no
738,738,https://www.zomato.com/hyderabad/krishna-tiffins-1-lakdikapul,Krishna Tiffins,New,₹150 for one,South Indian,1,Opens tomorrow at 11am,"Lakdikapul, Hyderabad",0,yes,yes,no,yes
739,739,https://www.zomato.com/hyderabad/shamsher-fast-food-chandrayanagutta,Shamsher Fast Food,New,₹100 for one,Fast Food,1,Closes in 1 hour 37 minutes,"Chandrayanagutta, Hyderabad",0,no,yes,no,yes
740,740,https://www.zomato.com/hyderabad/barbeque-spice-abids,Barbeque Spice,-,₹800 for one,"BBQ, North Indian, Desserts, Continental, Chinese",5,Closes in 1 hour 37 minutes,"Abids, Hyderabad",0,no,yes,no,yes
741,741,https://www.zomato.com/hyderabad/navnit-fast-food-koti,Navnit Fast Food,-,₹150 for one,"South Indian, Street Food, Beverages, Shake",4,Opens tomorrow at 9am,"Koti, Hyderabad",0,yes,yes,no,yes
742,742,https://www.zomato.com/hyderabad/ghee-tadka-khichdi-mehdipatnam,Ghee Tadka Khichdi,-,₹150 for one,"Healthy Food, North Indian",2,"Temporarily closed, will be back soon!","Mehdipatnam, Hyderabad",11,no,no,yes,no
743,743,https://www.zomato.com/hyderabad/leancrust-pizza-thincrust-experts-amberpet,LeanCrust Pizza - ThinCrust Experts,4.4,₹200 for one,"Pizza, Italian, Fast Food, Desserts, Beverages",5,"Temporarily closed, will be back soon!","Amberpet, Hyderabad",28,no,no,no,no
744,744,https://www.zomato.com/hyderabad/kushi-tiffin-center-masab-tank,Kushi Tiffin Center,-,₹100 for one,South Indian,1,Opens tomorrow at 7am,"Masab Tank, Hyderabad",0,yes,yes,yes,no
