,Unnamed: 0,links,names,ratings,price for one,cuisine,no of cisine,delivery time,location,outlets,home_delivery,takeaway_available,vegetarian_only,indoor_seating
63,63,https://www.zomato.com/hyderabad/green-bucket-biryani-dilsukhnagar,Green Bucket Biryani,3.4,₹100 for one,"Biryani, South Indian",2,45 min,"Dilsukhnagar, Hyderabad",19,no,no,no,no
64,64,https://www.zomato.com/hyderabad/potful-claypot-biryanis-khairatabad,Potful - Claypot Biryanis,4.3,₹100 for one,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages",6,90 min,"Khairatabad, Hyderabad",9,yes,yes,no,yes
65,65,https://www.zomato.com/hyderabad/hot-bucket-biryani-dilsukhnagar,Hot Bucket Biryani,3.8,₹100 for one,Biryani,1,46 min,"Dilsukhnagar, Hyderabad",16,yes,yes,no,yes
66,66,https://www.zomato.com/hyderabad/ovenstory-pizza-abids,Ovenstory Pizza,4.1,₹100 for one,"Pizza, Fast Food",2,50 min,"Abids, Hyderabad",29,no,no,no,no
67,67,https://www.zomato.com/hyderabad/ms-bakery-attapur,MS Bakery,4.1,₹100 for one,"Pizza, Rolls, Fast Food, Desserts, Bakery",5,46 min,"Attapur, Hyderabad",3,no,no,no,no
68,68,https://www.zomato.com/hyderabad/wow-momo-malakpet,WOW! Momo,4.1,₹100 for one,"Momos, Fast Food, Tibetan, Sichuan, Beverages",5,44 min,"Malakpet, Hyderabad",28,no,no,no,no
69,69,https://www.zomato.com/hyderabad/capital-multi-cuisine-restaurant-malakpet,Capital Multi Cuisine Restaurant,3.9,₹250 for one,"Mandi, Seafood, North Indian, Mughlai, Biryani, Chinese, Desserts",7,38 min,"Malakpet, Hyderabad",2,yes,yes,no,yes
70,70,https://www.zomato.com/hyderabad/swiss-castle-mehdipatnam,Swiss Castle,4.3,₹250 for one,"Bakery, Fast Food",2,53 min,"Mehdipatnam, Hyderabad",21,yes,yes,yes,yes
71,71,https://www.zomato.com/hyderabad/fb-cakes-2-saroor-nagar,FB Cakes,3.9,₹250 for one,Bakery,1,54 min,"Saroor Nagar, Hyderabad",22,yes,yes,no,no
72,72,https://www.zomato.com/hyderabad/mandi-king-arabian-restaurant-malakpet,Mandi King Arabian Restaurant,4.1,₹250 for one,"Mandi, Kebab, Desserts",3,40 min,"Malakpet, Hyderabad",3,yes,yes,no,yes
73,73,https://www.zomato.com/hyderabad/masqati-ice-cream-1-attapur,Masqati Ice Cream,4.3,₹250 for one,"Ice Cream, Desserts, Pizza, Fast Food, Street Food, Beverages",6,43 min,"Attapur, Hyderabad",13,yes,yes,yes,no
74,74,https://www.zomato.com/hyderabad/baskin-robbins-ice-cream-desserts-malakpet,Baskin Robbins - Ice Cream Desserts,4.1,₹250 for one,"Ice Cream, Desserts, Beverages",3,43 min,"Malakpet, Hyderabad",35,yes,yes,yes,yes
75,75,https://www.zomato.com/hyderabad/sarvi-restaurant-banjara-hills,Sarvi Restaurant,4.0,₹250 for one,"North Indian, Mughlai, Kebab, Chinese, Seafood, Desserts, Beverages",7,58 min,"Banjara Hills, Hyderabad",2,yes,yes,no,yes
76,76,https://www.zomato.com/hyderabad/a1-chicken-pakoda-point-dilsukhnagar,A1 Chicken Pakoda Point,4.0,₹250 for one,"Chinese, Biryani, Shawarma, North Indian",4,45 min,"Dilsukhnagar, Hyderabad",3,yes,yes,no,yes
77,77,https://www.zomato.com/hyderabad/rachits-krishnatunga-restaurant-dilsukhnagar,Rachit's Krishnatunga Restaurant,4.0,₹250 for one,"North Indian, Chinese, Biryani, South Indian",4,48 min,"Dilsukhnagar, Hyderabad",0,yes,yes,no,yes
78,78,https://www.zomato.com/hyderabad/hotel-sohail-malakpet,Hotel Sohail,4.2,₹250 for one,"North Indian, Mughlai, Kebab, Chinese, Beverages, Desserts",6,36 min,"Malakpet, Hyderabad",0,yes,yes,no,yes
79,79,https://www.zomato.com/hyderabad/aroma-family-restaurant-saroor-nagar,Aroma Family Restaurant,3.6,₹250 for one,"Hyderabadi, North Indian, Chinese, Biryani, Shawarma",5,47 min,"Saroor Nagar, Hyderabad",0,yes,yes,no,yes
80,80,https://www.zomato.com/hyderabad/cafe-niloufer-1-lakdikapul,Cafe Niloufer,4.4,₹250 for one,"Cafe, Tea, Shake, Beverages, Bakery, Sandwich, Pizza, Fast Food",8,45 min,"Lakdikapul, Hyderabad",4,yes,yes,no,yes
81,81,https://www.zomato.com/hyderabad/makers-of-milkshakes-masab-tank,Makers Of Milkshakes,4.3,₹250 for one,"Shake, Beverages, Ice Cream, Waffle",4,72 min,"Masab Tank, Hyderabad",55,yes,yes,yes,yes
82,82,https://www.zomato.com/hyderabad/king-khaja-hotel-saroor-nagar,King Khaja Hotel,4.2,₹250 for one,"Hyderabadi, Biryani, Fast Food",3,46 min,"Saroor Nagar, Hyderabad",0,yes,yes,no,yes
83,83,https://www.zomato.com/hyderabad/arabian-central-1-chandrayanagutta,Arabian Central,4.3,₹250 for one,"Arabian, Shawarma, Wraps, Burger, Fast Food",5,43 min,"Chandrayanagutta, Hyderabad",0,yes,yes,no,yes
84,84,https://www.zomato.com/hyderabad/sri-narsing-bhelpuri-juice-centre-lakdikapul,Sri Narsing Bhelpuri & Juice Centre,3.7,₹250 for one,"Street Food, Beverages, Pizza, Juices",4,51 min,"Lakdikapul, Hyderabad",4,yes,yes,yes,yes
85,85,https://www.zomato.com/hyderabad/the-exotic-shawarma-mehdipatnam,The Exotic Shawarma,4.0,₹250 for one,"Fast Food, Beverages, Shake, Pizza, Momos, Shawarma",6,52 min,"Mehdipatnam, Hyderabad",5,yes,yes,no,yes
86,86,https://www.zomato.com/hyderabad/shree-golden-palace-mehdipatnam,Shree Golden Palace,3.8,₹250 for one,"North Indian, Biryani, Chinese, South Indian",4,39 min,"Mehdipatnam, Hyderabad",0,yes,yes,no,yes
87,87,https://www.zomato.com/hyderabad/food-zone-2-mehdipatnam,Food Zone 2,4.0,₹250 for one,Chinese,1,58 min,"Mehdipatnam, Hyderabad",0,yes,yes,no,yes
88,88,https://www.zomato.com/hyderabad/dadus-dilsukhnagar,Dadu's,4.3,₹250 for one,Mithai,1,50 min,"Dilsukhnagar, Hyderabad",8,yes,yes,yes,no
89,89,https://www.zomato.com/hyderabad/jumera-hotel-4-chandrayanagutta,Jumera Hotel,4.5,₹250 for one,Biryani,1,38 min,"Chandrayanagutta, Hyderabad",0,yes,yes,no,yes
90,90,https://www.zomato.com/hyderabad/lunchbox-meals-and-thalis-malakpet,LunchBox - Meals and Thalis,4.0,₹250 for one,North Indian,1,46 min,"Malakpet, Hyderabad",30,no,no,no,no
91,91,https://www.zomato.com/hyderabad/balaji-family-dhaba-saroor-nagar,Balaji Family Dhaba,3.8,₹250 for one,"North Indian, Chinese, Biryani",3,45 min,"Saroor Nagar, Hyderabad",6,yes,yes,no,yes
92,92,https://www.zomato.com/hyderabad/new-alams-falaknuma,New Alams,4.2,₹250 for one,"North Indian, Street Food",2,41 min,"Falaknuma, Hyderabad",0,yes,yes,no,yes
93,93,https://www.zomato.com/hyderabad/1989-pizza-thick-shakes-dilsukhnagar,1989 Pizza & Thick Shake's,3.8,₹200 for one,"Shake, Coffee, Beverages, Fast Food, Pizza, Pasta, Desserts",7,60 min,"Dilsukhnagar, Hyderabad",4,yes,yes,no,yes
94,94,https://www.zomato.com/hyderabad/norfest-the-dhaba-dilsukhnagar,Norfest - The Dhaba,4.2,₹200 for one,"North Indian, Chinese",2,51 min,"Dilsukhnagar, Hyderabad",11,yes,yes,no,yes
95,95,https://www.zomato.com/hyderabad/mataam-al-yamani-lakdikapul,Mataam Al Yamani,3.8,₹200 for one,"Arabian, Mandi",2,53 min,"Lakdikapul, Hyderabad",3,yes,yes,no,yes
96,96,https://www.zomato.com/hyderabad/pista-house-zafrani-tea-charminar,Pista House Zafrani Tea,4.5,₹200 for one,"Tea, Beverages",2,29 min,"Charminar, Hyderabad",5,yes,yes,no,no
97,97,https://www.zomato.com/hyderabad/spice-9-restaurant-malakpet,Spice 9 Restaurant,3.9,₹200 for one,"Hyderabadi, North Indian, Chinese, Mughlai, Kebab, Biryani, Seafood",7,49 min,"Malakpet, Hyderabad",0,yes,yes,no,yes
98,98,https://www.zomato.com/hyderabad/g-pulla-reddy-sweets-mehdipatnam,G. Pulla Reddy Sweets,4.5,₹200 for one,"Mithai, Desserts",2,58 min,"Mehdipatnam, Hyderabad",14,yes,yes,no,no
99,99,https://www.zomato.com/hyderabad/mandi-house-arabian-restaurant-saroor-nagar,Mandi House Arabian Restaurant,3.8,₹200 for one,"North Indian, Mandi, Arabian, Desserts",4,42 min,"Saroor Nagar, Hyderabad",3,yes,yes,no,no
100,100,https://www.zomato.com/hyderabad/redaan-restaurant-charminar,Redaan Restaurant,4.3,₹200 for one,"Biryani, Chinese, Mughlai, Kebab, North Indian",5,34 min,"Charminar, Hyderabad",2,yes,yes,no,yes
101,101,https://www.zomato.com/hyderabad/abs-absolute-barbecues-1-malakpet,AB's - Absolute Barbecues,3.5,₹200 for one,"BBQ, North Indian, Street Food, Salad, Biryani, Desserts",6,57 min,"Malakpet, Hyderabad",12,yes,yes,no,yes
102,102,https://www.zomato.com/hyderabad/pista-house-cakes-desserts-charminar,Pista House - Cakes & Desserts,4.3,₹200 for one,"Bakery, Desserts",2,28 min,"Charminar, Hyderabad",5,no,no,no,no
103,103,https://www.zomato.com/hyderabad/nausheen-fruit-juice-centre-chandrayanagutta,Nausheen Fruit Juice Centre,4.4,₹200 for one,"Juices, Beverages",2,39 min,"Chandrayanagutta, Hyderabad",0,yes,yes,yes,yes
104,104,https://www.zomato.com/hyderabad/platform-65-dilsukhnagar,Platform 65,4.1,₹200 for one,"North Indian, Chinese, South Indian, Biryani, Ice Cream, Desserts, Beverages",7,54 min,"Dilsukhnagar, Hyderabad",4,yes,yes,no,yes
105,105,https://www.zomato.com/hyderabad/milan-juice-centre-nampally,Milan Juice Centre,4.1,₹150 for one,"Beverages, Desserts, Lebanese, Shake, Shawarma",5,42 min,"Nampally, Hyderabad",0,yes,yes,no,yes
106,106,https://www.zomato.com/hyderabad/hotel-svm-grand-banjara-hills,Hotel SVM Grand,4.2,₹150 for one,"North Indian, Chinese, Mughlai, Seafood, Street Food, Biryani, Desserts, Beverages",8,60 min,"Banjara Hills, Hyderabad",4,yes,no,no,yes
107,107,https://www.zomato.com/hyderabad/taco-bell-malakpet,Taco Bell,3.7,₹150 for one,"Mexican, Fast Food, Wraps",3,47 min,"The Next Galleria Mall, Malakpet, Hyderabad",8,yes,yes,no,yes
108,108,https://www.zomato.com/hyderabad/grand-bawarchi-restaurant-falaknuma,Grand Bawarchi Restaurant,4.3,₹150 for one,"Chinese, Biryani, Mandi, Seafood, North Indian, Kebab",6,36 min,"Falaknuma, Hyderabad",0,yes,yes,no,yes
109,109,https://www.zomato.com/hyderabad/shadaan-restaurant-chandrayanagutta,Shadaan Restaurant,4.2,₹150 for one,"North Indian, Chinese, Hyderabadi",3,37 min,"Chandrayanagutta, Hyderabad",0,yes,yes,no,yes
110,110,https://www.zomato.com/hyderabad/hotel-niagara-1-malakpet,Hotel Niagara,3.9,₹150 for one,"North Indian, Biryani, Arabian, Chinese, Mandi, Seafood, Kebab",7,36 min,"Malakpet, Hyderabad",2,yes,yes,no,yes
111,111,https://www.zomato.com/hyderabad/angaara-5-nampally,Angaara 5,4.0,₹150 for one,"North Indian, Chinese, Mughlai, Sichuan",4,46 min,"Nampally, Hyderabad",2,yes,yes,no,yes
112,112,https://www.zomato.com/hyderabad/al-saud-bait-al-mandi-malakpet,Al Saud Bait Al Mandi,3.6,₹150 for one,"Mandi, Arabian, Desserts",3,45 min,"Malakpet, Hyderabad",4,yes,yes,no,yes
113,113,https://www.zomato.com/hyderabad/sri-raghavendra-tiffins-and-meals-dilsukhnagar,Sri Raghavendra Tiffins and Meals,4.1,₹150 for one,"South Indian, Street Food",2,38 min,"Dilsukhnagar, Hyderabad",3,yes,yes,yes,yes
114,114,https://www.zomato.com/hyderabad/captain-cook-dilsukhnagar,Captain Cook,New,₹150 for one,"South Indian, North Indian, Mandi, Chinese, Biryani, Mughlai, Seafood, Desserts",8,48 min,"Dilsukhnagar, Hyderabad",5,yes,yes,no,yes
115,115,https://www.zomato.com/hyderabad/hotel-akbar-darbar-1-falaknuma,Hotel Akbar Darbar,4.4,₹150 for one,"Hyderabadi, Street Food, Biryani, Kebab",4,53 min,"Falaknuma, Hyderabad",0,yes,yes,no,yes
116,116,https://www.zomato.com/hyderabad/ibaco-saroor-nagar,Ibaco,4.3,₹150 for one,Desserts,1,49 min,"Saroor Nagar, Hyderabad",14,yes,yes,yes,yes
117,117,https://www.zomato.com/hyderabad/siddi-fast-food-begum-bazaar,Siddi Fast Food,3.9,₹100 for one,"Chinese, Pasta, Fast Food, North Indian, Sichuan",5,42 min,"Begum Bazaar, Hyderabad",2,no,no,no,no
118,118,https://www.zomato.com/hyderabad/bikanervala-khairatabad,Bikanervala,3.6,₹100 for one,"North Indian, South Indian, Chinese, Street Food, Fast Food, Bakery, Desserts, Beverages",8,70 min,"Khairatabad, Hyderabad",6,yes,yes,no,yes
119,119,https://www.zomato.com/hyderabad/balapur-bawarchi-restaurant-meerpet,Balapur Bawarchi Restaurant,3.7,₹100 for one,"North Indian, Chinese, Biryani, Mughlai, Kebab",5,52 min,"Meerpet, Hyderabad",0,yes,yes,no,yes
120,120,https://www.zomato.com/hyderabad/mashallah-shawarma-malakpet,Mashallah Shawarma,3.9,₹100 for one,"Rolls, Shawarma",2,44 min,"Malakpet, Hyderabad",4,yes,yes,no,yes
121,121,https://www.zomato.com/hyderabad/king-khaja-beef-mandi-house-saroor-nagar,King Khaja Beef Mandi House,4.1,₹100 for one,"Mandi, Fast Food, Lebanese, Biryani, Burger, Shawarma",6,48 min,"Saroor Nagar, Hyderabad",0,yes,yes,no,yes
122,122,https://www.zomato.com/hyderabad/andhra-meals-and-tiffins-mehdipatnam,Andhra Meals And Tiffins,4.0,₹100 for one,Andhra,1,54 min,"Mehdipatnam, Hyderabad",0,yes,yes,no,no
123,123,https://www.zomato.com/hyderabad/temptations-begum-bazaar,Temptations,3.9,₹100 for one,"Ice Cream, Desserts, Fast Food, Pizza",4,40 min,"Begum Bazaar, Hyderabad",8,yes,yes,yes,yes
124,124,https://www.zomato.com/hyderabad/sri-mahalaxmi-reddy-brothers-tiffins-fast-food-mehdipatnam,Sri Mahalaxmi Reddy Brother's Tiffins & Fast Food,4.3,₹100 for one,"South Indian, Chinese",2,52 min,"Mehdipatnam, Hyderabad",2,yes,yes,no,yes
125,125,https://www.zomato.com/hyderabad/sai-charan-dhabha-ghansi-bazaar,Sai Charan Dhabha,4.3,₹100 for one,"North Indian, Chinese",2,33 min,"Ghansi Bazaar, Hyderabad",0,yes,yes,no,yes
126,126,https://www.zomato.com/hyderabad/rayalaseema-ruchulu-lakdikapul,Rayalaseema Ruchulu,4.1,₹100 for one,"Andhra, South Indian, Chinese, North Indian, Biryani, Desserts, Beverages",7,53 min,"Lakdikapul, Hyderabad",4,yes,yes,no,yes
127,127,https://www.zomato.com/hyderabad/deccan-bakery-and-sweet-charminar,Deccan Bakery And Sweet,4.0,₹100 for one,"Bakery, Mithai, Fast Food",3,42 min,"Charminar, Hyderabad",3,yes,yes,no,no
128,128,https://www.zomato.com/hyderabad/amfah-hotel-mehdipatnam,Amfah Hotel,3.7,₹100 for one,"Biryani, North Indian",2,55 min,"Mehdipatnam, Hyderabad",0,yes,yes,no,yes
129,129,https://www.zomato.com/hyderabad/shahi-dastarkhwan-lakdikapul,Shahi Dastarkhwan,3.9,₹300 for one,"North Indian, Chinese, Seafood, Kebab, Mughlai, Biryani, Desserts, Beverages",8,57 min,"Lakdikapul, Hyderabad",0,yes,yes,no,yes
130,130,https://www.zomato.com/hyderabad/al-hashmi-fast-food-charminar,Al Hashmi Fast Food,4.0,₹300 for one,"North Indian, Chinese",2,39 min,"Charminar, Hyderabad",0,yes,yes,no,yes
131,131,https://www.zomato.com/hyderabad/sultan-darbar-mehdipatnam,Sultan Darbar,4.1,₹300 for one,"Mughlai, North Indian, Chinese",3,53 min,"Mehdipatnam, Hyderabad",0,yes,yes,no,yes
132,132,https://www.zomato.com/hyderabad/biryanis-and-more-khairatabad,Biryanis And More,3.5,₹300 for one,"Biryani, North Indian, Andhra, Chinese, Sichuan",5,70 min,"Khairatabad, Hyderabad",7,yes,yes,no,no
133,133,https://www.zomato.com/hyderabad/santosh-dhaba-2-begum-bazaar,Santosh Dhaba,3.7,₹300 for one,"North Indian, Chinese, Biryani, Sichuan, Sandwich, Pizza, Salad, Beverages",8,38 min,"Begum Bazaar, Hyderabad",0,yes,yes,yes,yes
134,134,https://www.zomato.com/hyderabad/hotel-city-diamond-mehdipatnam,Hotel City Diamond,4.3,₹300 for one,"Biryani, Hyderabadi",2,58 min,"Mehdipatnam, Hyderabad",0,yes,yes,no,yes
135,135,https://www.zomato.com/hyderabad/riyan-hotel-nampally,Riyan Hotel,3.8,₹300 for one,"Mughlai, Biryani, North Indian, Seafood, Chinese",5,52 min,"Nampally, Hyderabad",0,yes,yes,no,yes
136,136,https://www.zomato.com/hyderabad/sweet-truth-cake-and-desserts-abids,Sweet Truth - Cake and Desserts,3.4,₹300 for one,"Desserts, Bakery, Ice Cream",3,50 min,"Abids, Hyderabad",30,no,no,no,no
137,137,https://www.zomato.com/hyderabad/grameen-kulfi-banjara-hills,Grameen Kulfi,4.0,₹300 for one,"Ice Cream, Desserts",2,71 min,"Banjara Hills, Hyderabad",20,no,no,no,no
138,138,https://www.zomato.com/hyderabad/al-kareem-hotel-1-mehdipatnam,Al Kareem Hotel,4.2,₹300 for one,Hyderabadi,1,57 min,"Mehdipatnam, Hyderabad",0,yes,yes,no,yes
139,139,https://www.zomato.com/hyderabad/hotel-sandarshini-1-masab-tank,Hotel Sandarshini,4.2,₹300 for one,"South Indian, North Indian, Chinese, Beverages",4,47 min,"Masab Tank, Hyderabad",4,yes,yes,no,yes
140,140,https://www.zomato.com/hyderabad/the-biryani-life-malakpet,The Biryani Life,3.8,₹300 for one,"Biryani, Kebab, Hyderabadi, Lucknowi",4,44 min,"Malakpet, Hyderabad",31,no,no,no,no
141,141,https://www.zomato.com/hyderabad/mr-doner-house-falaknuma,Mr. Doner House,3.9,₹100 for one,"Fast Food, Lebanese, Beverages, Shake, Pizza, Burger",6,61 min,"Falaknuma, Hyderabad",0,yes,yes,no,yes
142,142,https://www.zomato.com/hyderabad/hotel-masha-allah-mandi-charminar,Hotel Masha Allah Mandi,3.8,₹100 for one,"North Indian, Mandi, Biryani, Mughlai",4,45 min,"Charminar, Hyderabad",3,yes,yes,no,yes
143,143,https://www.zomato.com/hyderabad/al-armaan-hotel-1-falaknuma,Al Armaan Hotel,4.1,₹100 for one,"Hyderabadi, Biryani",2,60 min,"Falaknuma, Hyderabad",0,yes,yes,no,no
144,144,https://www.zomato.com/hyderabad/warmoven-cake-desserts-dilsukhnagar,WarmOven Cake & Desserts,4.1,₹100 for one,"Bakery, Desserts, Ice Cream, Shake",4,51 min,"Dilsukhnagar, Hyderabad",11,no,no,no,no
145,145,https://www.zomato.com/hyderabad/minerva-coffee-shop-masab-tank,Minerva Coffee Shop,3.4,₹100 for one,"South Indian, North Indian, Chinese, Sichuan, Desserts, Ice Cream, Beverages",7,64 min,"Masab Tank, Hyderabad",7,yes,yes,no,no
146,146,https://www.zomato.com/hyderabad/chat-corner-1-saroor-nagar,Chat Corner,4.2,₹100 for one,Street Food,1,47 min,"Saroor Nagar, Hyderabad",0,yes,yes,yes,no
147,147,https://www.zomato.com/hyderabad/sri-sai-raghavendra-udupi-veg-kothapet,Sri Sai Raghavendra Udupi Veg,4.0,₹100 for one,"South Indian, North Indian",2,52 min,"Kothapet, Hyderabad",0,yes,yes,yes,yes
148,148,https://www.zomato.com/hyderabad/grill-station-2-charminar,Grill Station,4.1,₹100 for one,"Fast Food, Lebanese, Shawarma",3,43 min,"Charminar, Hyderabad",2,yes,yes,no,yes
149,149,https://www.zomato.com/hyderabad/mr-pulao-dilsukhnagar,Mr. Pulao,3.8,₹100 for one,"Andhra, North Indian, Biryani",3,50 min,"Dilsukhnagar, Hyderabad",6,yes,yes,no,no
150,150,https://www.zomato.com/hyderabad/mughal-restaurant-lakdikapul,Mughal Restaurant,4.1,₹100 for one,"North Indian, Chinese, Biryani, Mughlai, Kebab, Desserts",6,49 min,"Lakdikapul, Hyderabad",0,yes,yes,no,yes
151,151,https://www.zomato.com/hyderabad/minerva-sweets-masab-tank,Minerva Sweets,4.4,₹100 for one,"Street Food, Sandwich, Juices, Shake",4,50 min,"Masab Tank, Hyderabad",2,yes,yes,yes,no
152,152,https://www.zomato.com/hyderabad/delight-delicious-1-mehdipatnam,Delight Delicious,3.4,₹100 for one,"Bakery, Pizza, Fast Food, Chinese, Sandwich, Burger, Street Food, Sichuan",8,70 min,"Mehdipatnam, Hyderabad",2,yes,yes,no,no
153,153,https://www.zomato.com/hyderabad/al-madina-chinese-fast-food-1-chandrayanagutta,Al Madina Chinese Fast Food,3.9,₹100 for one,"Hyderabadi, Chinese",2,44 min,"Chandrayanagutta, Hyderabad",0,yes,yes,no,no
154,154,https://www.zomato.com/hyderabad/burrito-ice-cream-chandrayanagutta,Burrito Ice Cream,4.2,₹100 for one,"Ice Cream, Desserts, Beverages",3,42 min,"Chandrayanagutta, Hyderabad",0,yes,yes,yes,yes
155,155,https://www.zomato.com/hyderabad/hotel-savera-malakpet,Hotel Savera,4.3,₹100 for one,"Biryani, Hyderabadi",2,39 min,"Malakpet, Hyderabad",0,yes,yes,no,yes
156,156,https://www.zomato.com/hyderabad/nazeer-juice-center-1-charminar,Nazeer Juice Center,4.2,₹100 for one,"Juices, Beverages, Desserts, Shake",4,31 min,"Charminar, Hyderabad",0,yes,yes,no,yes
157,157,https://www.zomato.com/hyderabad/tabla-banjara-hills,Tabla,3.7,₹100 for one,"North Indian, Chinese, Andhra, Mughlai, Kebab, Biryani, South Indian, Desserts",8,72 min,"Banjara Hills, Hyderabad",5,yes,yes,no,yes
158,158,https://www.zomato.com/hyderabad/captain-kunafa-3-malakpet,Captain Kunafa,4.1,₹100 for one,"Desserts, Turkish",2,37 min,"Malakpet, Hyderabad",3,yes,yes,no,yes
159,159,https://www.zomato.com/hyderabad/shahi-zaiqa-charminar,Shahi Zaiqa,3.9,₹100 for one,"Arabian, Mughlai, Chinese, Mandi, Shawarma",5,40 min,"Charminar, Hyderabad",0,yes,yes,no,no
160,160,https://www.zomato.com/hyderabad/swagath-hotel-falaknuma,Swagath Hotel,3.9,₹100 for one,"South Indian, Chinese, North Indian",3,36 min,"Falaknuma, Hyderabad",0,yes,yes,yes,yes
161,161,https://www.zomato.com/hyderabad/mohammedia-shawarma-3-mehdipatnam,Mohammedia Shawarma,4.3,₹100 for one,"North Indian, Street Food, Beverages, Shawarma",4,51 min,"Mehdipatnam, Hyderabad",2,yes,yes,no,no
162,162,https://www.zomato.com/hyderabad/sri-balaji-family-dhaba-mehdipatnam,Sri Balaji Family Dhaba,3.9,₹100 for one,"North Indian, Chinese, Biryani",3,56 min,"Mehdipatnam, Hyderabad",0,yes,yes,no,yes
163,163,https://www.zomato.com/hyderabad/pure-veg-meals-by-lunchbox-malakpet,Pure Veg Meals By LunchBox,4.1,₹100 for one,North Indian,1,48 min,"Malakpet, Hyderabad",29,no,no,yes,no
164,164,https://www.zomato.com/hyderabad/samosa-singh-banjara-hills,Samosa Singh,4.0,₹100 for one,"Street Food, North Indian, Beverages",3,67 min,"Banjara Hills, Hyderabad",19,no,no,no,no
165,165,https://www.zomato.com/hyderabad/just-parantha-banjara-hills,Just Parantha,4.3,₹100 for one,North Indian,1,52 min,"Banjara Hills, Hyderabad",0,yes,yes,yes,yes
166,166,https://www.zomato.com/hyderabad/swagth-hotel-charminar,Swagth Hotel,4.1,₹100 for one,"North Indian, South Indian, Chinese",3,31 min,"Charminar, Hyderabad",0,no,no,yes,no
167,167,https://www.zomato.com/hyderabad/hotel-city-diamond-1-mehdipatnam,Hotel City Diamond,4.1,₹100 for one,"Biryani, Mughlai, Chinese",3,49 min,"Mehdipatnam, Hyderabad",0,yes,yes,no,yes
168,168,https://www.zomato.com/hyderabad/snazzy-ice-cream-falaknuma,Snazzy Ice Cream,4.3,₹100 for one,Ice Cream,1,31 min,"Falaknuma, Hyderabad",2,yes,yes,no,yes
169,169,https://www.zomato.com/hyderabad/turkish-shawarma-house-chandrayanagutta,Turkish Shawarma House,3.9,₹100 for one,"Shawarma, Fast Food, Wraps",3,59 min,"Chandrayanagutta, Hyderabad",0,yes,yes,no,no
170,170,https://www.zomato.com/hyderabad/deccan-bakers-and-sweet-house-attapur,Deccan Bakers and Sweet House,4.0,₹100 for one,"Bakery, Street Food, Rolls",3,45 min,"Attapur, Hyderabad",0,yes,no,no,no
171,171,https://www.zomato.com/hyderabad/kwality-walls-frozen-dessert-and-ice-cream-shop-6-malakpet,Kwality Wall’s Frozen Dessert and Ice Cream Shop,4.0,₹100 for one,"Ice Cream, Desserts",2,36 min,"Malakpet, Hyderabad",5,no,no,no,no
172,172,https://www.zomato.com/hyderabad/madhur-sweets-masab-tank,Madhur Sweets,4.5,₹100 for one,"Mithai, Desserts",2,44 min,"Masab Tank, Hyderabad",0,yes,yes,no,no
173,173,https://www.zomato.com/hyderabad/sahadeva-reddy-tiffins-dilsukhnagar,Sahadeva Reddy Tiffins,4.2,₹100 for one,Street Food,1,46 min,"Dilsukhnagar, Hyderabad",0,yes,yes,yes,yes
174,174,https://www.zomato.com/hyderabad/oven-basket-meerpet,Oven Basket,3.9,₹100 for one,"Bakery, Chinese, Fast Food, Sichuan, Pizza, Burger",6,56 min,"Meerpet, Hyderabad",0,yes,yes,no,yes
175,175,https://www.zomato.com/hyderabad/kwality-walls-frozen-dessert-and-ice-cream-shop-3-malakpet,Kwality Wall’s Frozen Dessert And Ice Cream Shop,4.3,₹100 for one,"Ice Cream, Desserts",2,37 min,"Malakpet, Hyderabad",15,no,no,no,no
176,176,https://www.zomato.com/hyderabad/sri-balaji-mithai-bhandar-3-falaknuma,Sri Balaji Mithai Bhandar,4.3,₹100 for one,Mithai,1,33 min,"Falaknuma, Hyderabad",15,no,no,no,no
177,177,https://www.zomato.com/hyderabad/the-wrap-house-malakpet,The Wrap House,4.1,₹200 for one,"Wraps, Burger, Lebanese, Fast Food",4,47 min,"Malakpet, Hyderabad",0,yes,yes,no,yes
178,178,https://www.zomato.com/hyderabad/turkish-doner-chandrayanagutta,Turkish Doner,3.2,₹200 for one,"Lebanese, Fast Food, Arabian, Shawarma",4,46 min,"Chandrayanagutta, Hyderabad",0,yes,yes,no,yes
179,179,https://www.zomato.com/hyderabad/doner-king-malakpet,Doner King,4.1,₹200 for one,"Arabian, Fast Food",2,40 min,"Malakpet, Hyderabad",2,yes,yes,no,yes
180,180,https://www.zomato.com/hyderabad/istanbul-malakpet,Istanbul,4.3,₹200 for one,Wraps,1,45 min,"Malakpet, Hyderabad",3,yes,yes,no,yes
181,181,https://www.zomato.com/hyderabad/zaitun-falaknuma,Zaitun,3.8,₹200 for one,"North Indian, Chinese, Mughlai, Kebab, Seafood, Mandi",6,46 min,"Falaknuma, Hyderabad",0,yes,yes,no,yes
182,182,https://www.zomato.com/hyderabad/alhamdulilah-juice-centre-charminar,Alhamdulilah Juice Centre,3.7,₹200 for one,"Juices, Shake, Beverages, Desserts",4,43 min,"Charminar, Hyderabad",0,yes,yes,yes,no
183,183,https://www.zomato.com/hyderabad/taiba-bakery-cafe-masab-tank,Taiba Bakery & Cafe,4.1,₹200 for one,"Bakery, Fast Food, South Indian, Beverages, Shake, Pizza, Burger, Tea",8,51 min,"Masab Tank, Hyderabad",0,yes,yes,no,yes
