,links,names,ratings,price for one,cuisine,no of cisine,delivery time
388,https://www.zomato.com/hyderabad/sher-e-punjab-nampally,Sher-E-Punjab,3.7,₹200 for one,"North Indian, Chinese, Biryani",3,43 min
389,https://www.zomato.com/hyderabad/bismillah-hotel-1-falaknuma,Bismillah Hotel,4.2,₹200 for one,"Hyderabadi, Mughlai, Biryani",3,44 min
390,https://www.zomato.com/hyderabad/nani-cakes-amberpet,Nani Cakes,4.1,₹200 for one,Bakery,1,52 min
391,https://www.zomato.com/hyderabad/fusion-food-corner-1-chandrayanagutta,Fusion Food Corner,4.0,₹200 for one,"Wraps, Fast Food, Chinese, Shake, Beverages",5,45 min
392,https://www.zomato.com/hyderabad/the-dessert-zone-dilsukhnagar,The Dessert Zone,3.8,₹200 for one,"Desserts, Shake, Ice Cream, Bakery, Beverages",5,46 min
393,https://www.zomato.com/hyderabad/tea-time-and-food-club-malakpet,Tea Time And Food Club,4.0,₹100 for one,"Shawarma, Burger, Pizza, Wraps, Fast Food, Street Food, Shake, Beverages",8,35 min
394,https://www.zomato.com/hyderabad/pandu-fast-food-centre-mehdipatnam,Pandu Fast Food Centre,4.1,₹100 for one,"Chinese, Sichuan",2,57 min
395,https://www.zomato.com/hyderabad/forbes-cafe-restaurant-dilsukhnagar,Forbes Cafe & Restaurant,3.6,₹100 for one,"Chinese, Fast Food, Street Food, Pizza, Burger, Sandwich, Desserts, Beverages",8,43 min
396,https://www.zomato.com/hyderabad/ubq-by-barbeque-nation-abids,UBQ by Barbeque Nation,3.9,₹100 for one,"BBQ, North Indian, Chinese, Street Food, Kebab, Beverages, Desserts",7,54 min
397,https://www.zomato.com/hyderabad/yaba-chinese-fast-food-falaknuma,Yaba Chinese Fast Food,4.2,₹100 for one,Chinese,1,46 min
398,https://www.zomato.com/hyderabad/the-brooklyn-creamery-healthy-ice-cream-kacheguda,The Brooklyn Creamery - Healthy Ice Cream,3.9,₹100 for one,"Ice Cream, Desserts",2,37 min
399,https://www.zomato.com/hyderabad/agra-mithai-ghar-restaurant-1-charminar,Agra Mithai Ghar & Restaurant,4.3,₹100 for one,"Street Food, Sandwich, Mithai, Beverages",4,22 min
400,https://www.zomato.com/hyderabad/sanjos-donuts-dilsukhnagar,Sanjos Donuts,4.1,₹100 for one,Desserts,1,41 min
401,https://www.zomato.com/hyderabad/tawakkal-bakery-sweets-falaknuma,Tawakkal Bakery & Sweets,3.4,₹100 for one,Mithai,1,52 min
402,https://www.zomato.com/hyderabad/cupcake-bliss-cakes-desserts-dilsukhnagar,Cupcake Bliss Cakes & Desserts,4.1,₹100 for one,"Bakery, Desserts, Ice Cream",3,46 min
403,https://www.zomato.com/hyderabad/barracks-grill-chandrayanagutta,Barrack's Grill,4.1,₹100 for one,"BBQ, Wraps, Burger, Fast Food, Lebanese, Mediterranean, Shake, Beverages",8,51 min
404,https://www.zomato.com/hyderabad/shahran-hotel-charminar,Shahran Hotel,4.2,₹100 for one,"Biryani, North Indian",2,23 min
405,https://www.zomato.com/hyderabad/parathawala-malakpet,Parathawala,4.0,₹100 for one,North Indian,1,39 min
406,https://www.zomato.com/hyderabad/froops-1-begum-bazaar,Froops,4.0,₹100 for one,Ice Cream,1,35 min
407,https://www.zomato.com/hyderabad/fanooz-restaurant-banquet-masab-tank,Fanooz Restaurant & Banquet,3.7,₹100 for one,"Hyderabadi, Mughlai, Biryani",3,48 min
408,https://www.zomato.com/hyderabad/kholanis-abids,Kholani's,3.7,₹100 for one,"North Indian, Mughlai, Chinese, Seafood, Biryani, Rolls, Desserts, Beverages",8,38 min
409,https://www.zomato.com/hyderabad/al-labbaik-shawarma-mehdipatnam,Al-Labbaik Shawarma,3.4,₹100 for one,Shawarma,1,54 min
410,https://www.zomato.com/hyderabad/noto-healthy-ice-cream-basheer-bagh,NOTO - Healthy Ice Cream,4.0,₹100 for one,Ice Cream,1,42 min
411,https://www.zomato.com/hyderabad/naseeb-hotel-1-mehdipatnam,Naseeb Hotel,3.9,₹100 for one,Hyderabadi,1,48 min
412,https://www.zomato.com/hyderabad/master-bucket-biryani-himayath-nagar,Master Bucket Biryani,4.0,₹100 for one,Biryani,1,52 min
413,https://www.zomato.com/hyderabad/thanya-food-house-attapur,Thanya Food House,3.6,₹100 for one,"Biryani, Chinese, North Indian, Seafood, Mughlai, Desserts",6,58 min
414,https://www.zomato.com/hyderabad/gulzar-sweets-charminar,Gulzar Sweets,4.4,₹100 for one,"Mithai, Street Food",2,24 min
415,https://www.zomato.com/hyderabad/agarwals-family-dhaba-himayath-nagar,Agarwal's Family Dhaba,3.6,₹100 for one,"North Indian, Chinese, Biryani",3,46 min
416,https://www.zomato.com/hyderabad/tasty-crunch-1-amberpet,Tasty Crunch,3.6,₹100 for one,"Chinese, North Indian, Andhra, Sichuan",4,54 min
417,https://www.zomato.com/hyderabad/abhi-ruchilu-dilsukhnagar,Abhi Ruchilu,3.5,₹200 for one,"Biryani, Chinese",2,47 min
418,https://www.zomato.com/hyderabad/sattipandu-biryani-saroor-nagar,Sattipandu Biryani,3.5,₹200 for one,Biryani,1,36 min
419,https://www.zomato.com/hyderabad/aladdin-arabian-family-restaurant-falaknuma,Aladdin Arabian Family Restaurant,3.5,₹200 for one,"Arabian, Mandi, North Indian",3,34 min
420,https://www.zomato.com/hyderabad/salasar-chat-and-tiffins-center-falaknuma,Salasar Chat And Tiffins Center,4.3,₹200 for one,"Street Food, South Indian",2,33 min
421,https://www.zomato.com/hyderabad/dumont-creamery-himayath-nagar,Dumont Creamery,4.2,₹200 for one,"Desserts, Ice Cream, Shake",3,42 min
422,https://www.zomato.com/hyderabad/bakers-kitchen-musheerabad,Bakers Kitchen,3.8,₹200 for one,"Chinese, Fast Food",2,56 min
423,https://www.zomato.com/hyderabad/muddapappu-avakai-com-himayath-nagar,Muddapappu Avakai.com,3.8,₹200 for one,South Indian,1,47 min
424,https://www.zomato.com/hyderabad/ghrelin-cafe-patisserie-basheer-bagh,Ghrelin Cafe & Patisserie,4.0,₹200 for one,"Cafe, Continental, Italian, Fast Food, Pizza, Desserts, Beverages, Burger",8,40 min
