,links,names,ratings,price for one,cuisine,no of cisine,delivery time
513,https://www.zomato.com/hyderabad/sri-lakshmi-fast-food-center-malakpet,Sri Lakshmi Fast Food Center,4.0,₹200 for one,Chinese,1,46 min
514,https://www.zomato.com/hyderabad/vinayak-tiffins-nallakunta,Vinayak Tiffins,3.9,₹200 for one,South Indian,1,42 min
515,https://www.zomato.com/hyderabad/ice-cafe-lassi-shop-3-nampally,Ice Cafe & Lassi Shop,3.4,₹200 for one,"Desserts, Shake, Juices, Beverages, Salad",5,32 min
516,https://www.zomato.com/hyderabad/straws-the-cafe-1-narayanguda,Straws The Cafe,3.6,₹200 for one,"Cafe, Shake, Chinese, North Indian, Sandwich, Pizza, Fast Food, Desserts",8,56 min
517,https://www.zomato.com/hyderabad/v-cafe-meals-by-pvr-malakpet,V Cafe- Meals By PVR,3.7,₹200 for one,"Burger, Sandwich, Fast Food",3,61 min
518,https://www.zomato.com/hyderabad/vaibhav-tiffins-saroor-nagar,Vaibhav Tiffins,4.0,₹200 for one,South Indian,1,49 min
519,https://www.zomato.com/hyderabad/shawarma-hot-and-cool-point-malakpet,Shawarma Hot And Cool Point,4.1,₹200 for one,Shawarma,1,29 min
520,https://www.zomato.com/hyderabad/amrit-juice-centre-rtc-x-roads,Amrit Juice Centre,3.4,₹200 for one,"Beverages, Juices, Shake",3,51 min
521,https://www.zomato.com/hyderabad/grill-xpress-restro-saroor-nagar,Grill Xpress Restro,New,₹200 for one,"Burger, Fast Food, Shake, Beverages",4,42 min
522,https://www.zomato.com/hyderabad/simrats-dhaba-begum-bazaar,Simrat's Dhaba,4.0,₹200 for one,"North Indian, Chinese",2,36 min
523,https://www.zomato.com/hyderabad/natural-fruits-juices-salads-dilsukhnagar,Natural Fruits Juices & Salads,4.1,₹200 for one,"Juices, Beverages, Salad, Healthy Food",4,46 min
524,https://www.zomato.com/hyderabad/the-big-noodles-himayath-nagar,The Big Noodles,3.8,₹200 for one,Chinese,1,59 min
525,https://www.zomato.com/hyderabad/food-bucks-falaknuma,Food Bucks,4.0,₹100 for one,"Burger, Wraps, Roast Chicken, Salad, Fast Food, Shake, Beverages",7,37 min
526,https://www.zomato.com/hyderabad/sri-ruchi-pulaos-dilsukhnagar,Sri Ruchi Pulao's,4.0,₹100 for one,"Andhra, North Indian, Biryani, Chinese",4,47 min
527,https://www.zomato.com/hyderabad/al-noor-bakery-charminar,Al Noor Bakery,-,₹100 for one,"Bakery, Desserts",2,36 min
528,https://www.zomato.com/hyderabad/mataam-al-jazirah-nampally,Mataam AL Jazirah,4.2,₹100 for one,"Arabian, Biryani, Mandi, Mughlai, Seafood, Desserts",6,46 min
529,https://www.zomato.com/hyderabad/new-shahi-naan-malakpet,New Shahi Naan,4.5,₹100 for one,North Indian,1,35 min
530,https://www.zomato.com/hyderabad/abood-mandi-chandrayanagutta,Abood Mandi,4.2,₹100 for one,"Arabian, Hyderabadi",2,52 min
531,https://www.zomato.com/hyderabad/kekiz-cake-shop-malakpet,Kekiz Cake Shop,3.8,₹100 for one,"Bakery, Desserts, Fast Food",3,48 min
532,https://www.zomato.com/hyderabad/safa-matam-al-mandi-malakpet,Safa Matam Al Mandi,4.0,₹100 for one,"Arabian, Mandi",2,34 min
533,https://www.zomato.com/hyderabad/daawat-biryani-hub-dilsukhnagar,Daawat Biryani Hub,4.0,₹100 for one,"Biryani, Chinese",2,45 min
534,https://www.zomato.com/hyderabad/devi-kitchen-saroor-nagar,Devi Kitchen,4.3,₹100 for one,"North Indian, Chinese, Fast Food",3,38 min
535,https://www.zomato.com/hyderabad/avs-smokebox-malakpet,AV's Smokebox,4.1,₹100 for one,"BBQ, Fast Food",2,64 min
536,https://www.zomato.com/hyderabad/azaan-bait-al-mandi-rtc-x-roads,Azaan Bait Al Mandi,4.0,₹100 for one,"Arabian, Mandi, Mughlai, Seafood, Desserts, Beverages",6,49 min
537,https://www.zomato.com/hyderabad/heavens-grill-chandrayanagutta,Heaven's Grill,New,₹150 for one,"Fast Food, Pizza, Sandwich, Burger, Wraps, Shake, Beverages",7,50 min
538,https://www.zomato.com/hyderabad/lassi-n-cafe-amberpet,Lassi N Cafe,3.7,₹150 for one,"Beverages, Fast Food, Desserts, Juices, Shake, Burger, Coffee",7,48 min
539,https://www.zomato.com/hyderabad/sri-vigneshwara-curry-point-nallakunta,Sri Vigneshwara Curry Point,3.1,₹150 for one,"South Indian, Andhra",2,50 min
540,https://www.zomato.com/hyderabad/voulga-hotel-bakery-nampally,Voulga Hotel & Bakery,4.3,₹150 for one,"North Indian, Chinese, Mughlai, Seafood, Biryani, Beverages",6,38 min
541,https://www.zomato.com/hyderabad/arabian-juices-and-salads-mehdipatnam,Arabian Juices And Salads,3.7,₹150 for one,"Desserts, Salad, Shake, Juices, Beverages",5,56 min
542,https://www.zomato.com/hyderabad/kaati-zone-rolls-and-wraps-dilsukhnagar,Kaati Zone Rolls and Wraps,3.9,₹150 for one,"Rolls, Wraps, Fast Food, Desserts, Shake",5,53 min
543,https://www.zomato.com/hyderabad/hotel-delhi-dastarkhan-malakpet,Hotel Delhi Dastarkhan,4.0,₹150 for one,Hyderabadi,1,32 min
544,https://www.zomato.com/hyderabad/tib-the-icecream-bakery-2-koti,TIB - The Icecream Bakery,3.7,₹150 for one,"Ice Cream, Desserts, Shake, Beverages",4,36 min
545,https://www.zomato.com/hyderabad/peshawar-juice-centre-1-malakpet,Peshawar Juice Centre,4.3,₹150 for one,"Beverages, Ice Cream, Desserts",3,36 min
546,https://www.zomato.com/hyderabad/veg-daawat-by-behrouz-abids,Veg Daawat By Behrouz,3.7,₹150 for one,"Biryani, North Indian, Mughlai",3,43 min
547,https://www.zomato.com/hyderabad/heavenly-pizza-chandrayanagutta,Heavenly Pizza,4.3,₹150 for one,Pizza,1,53 min
548,https://www.zomato.com/hyderabad/the-kulfi-falooda-project-himayath-nagar,The Kulfi & Falooda Project,3.6,₹150 for one,"Ice Cream, Desserts",2,57 min
549,https://www.zomato.com/hyderabad/doner-wrap-chandrayanagutta,Doner Wrap,4.0,₹150 for one,"Fast Food, Beverages",2,52 min
550,https://www.zomato.com/hyderabad/food-court-adda-1-dilsukhnagar,Food Court Adda,-,₹150 for one,"Chinese, Momos",2,47 min
551,https://www.zomato.com/hyderabad/zamans-arabian-food-saroor-nagar,Zaman's Arabian Food,4.0,₹150 for one,"Arabian, North Indian",2,36 min
552,https://www.zomato.com/hyderabad/spicy-noodle-house-2-nallakunta,Spicy Noodle House,3.6,₹150 for one,"Chinese, Shawarma",2,45 min
553,https://www.zomato.com/hyderabad/idhikas-cakes-snacks-2-nampally,Idhika's Cakes & Snacks,-,₹150 for one,Bakery,1,38 min
554,https://www.zomato.com/hyderabad/cakes-07-banjara-hills,Cakes 07,4.0,₹150 for one,"Bakery, Desserts, Beverages",3,80 min
555,https://www.zomato.com/hyderabad/kung-pao-kitchen-narayanguda,Kung Pao Kitchen,4.0,₹150 for one,"Chinese, Seafood, Sichuan, Ice Cream, Beverages",5,49 min
556,https://www.zomato.com/hyderabad/zaheer-juice-center-malakpet,Zaheer Juice Center,4.4,₹150 for one,"Juices, Beverages, Shake, Desserts, Salad",5,33 min
557,https://www.zomato.com/hyderabad/slay-coffee-malakpet,SLAY Coffee,3.7,₹150 for one,"Cafe, Coffee, Beverages, Desserts, Bakery, Sandwich, Shake",7,43 min
558,https://www.zomato.com/hyderabad/narayan-upahaar-1-kacheguda,Narayan Upahaar,4.0,₹150 for one,"North Indian, Rajasthani, Chinese, Biryani, Sandwich, Pizza, Street Food, Sichuan",8,51 min
559,https://www.zomato.com/hyderabad/jaipurs-jalpoori-chaats-n-more-musheerabad,"Jaipur's Jalpoori - Chaats ""n"" More",3.5,₹150 for one,"Street Food, Sandwich, Beverages, Fast Food, Shake",5,51 min
560,https://www.zomato.com/hyderabad/new-makkah-tiffin-center-charminar,New Makkah Tiffin Center,4.1,₹150 for one,South Indian,1,40 min
561,https://www.zomato.com/hyderabad/lassi-shop-hub-1-koti,Lassi Shop Hub,3.9,₹100 for one,"Shake, Coffee, Beverages, Fast Food, Desserts",5,35 min
562,https://www.zomato.com/hyderabad/arabian-shawarma-burger-1-nampally,Arabian Shawarma & Burger,4.2,₹100 for one,"Fast Food, Beverages, Shawarma",3,45 min
563,https://www.zomato.com/hyderabad/the-wrap-corner-falaknuma,The Wrap Corner,4.3,₹100 for one,"Fast Food, Wraps",2,59 min
564,https://www.zomato.com/hyderabad/hyderabad-shawarma-house-narayanguda,Hyderabad Shawarma House,3.5,₹100 for one,"Shawarma, Burger, Fast Food",3,39 min
565,https://www.zomato.com/hyderabad/de-cafe-studio-malakpet,De Cafe Studio,3.6,₹100 for one,"Cafe, Coffee, Sandwich, Fast Food, Burger, Chinese, Desserts, Beverages",8,38 min
566,https://www.zomato.com/hyderabad/al-hashmi-arabian-shawarma-house-charminar,Al Hashmi Arabian Shawarma House,3.7,₹100 for one,Shawarma,1,35 min
567,https://www.zomato.com/hyderabad/milan-bakery-sweet-house-mehdipatnam,Milan Bakery & Sweet House,4.3,₹100 for one,"Bakery, Street Food, Fast Food",3,32 min
568,https://www.zomato.com/hyderabad/hotel-delhi-darbar-ghansi-bazaar,Hotel Delhi Darbar,3.3,₹100 for one,"North Indian, Mughlai",2,39 min
569,https://www.zomato.com/hyderabad/classico-italiano-narayanguda,Classico Italiano,4.0,₹100 for one,"Pasta, Fast Food, Beverages, Juices, Shake",5,48 min
570,https://www.zomato.com/hyderabad/shahran-kebab-nampally,Shahran Kebab,3.8,₹100 for one,Kebab,1,36 min
571,https://www.zomato.com/hyderabad/stop-n-eat-chicken-shawarma-saroor-nagar,Stop N Eat Chicken Shawarma,4.2,₹100 for one,Shawarma,1,40 min
572,https://www.zomato.com/hyderabad/zam-zam-arabian-mandi-malakpet,Zam Zam Arabian Mandi,3.5,₹100 for one,"Arabian, Desserts, Beverages",3,44 min
573,https://www.zomato.com/hyderabad/cremeborne-ice-creams-and-desserts-1-abids,Cremeborne - Ice Creams And Desserts,3.6,₹200 for one,"Ice Cream, Desserts, Fast Food, Pizza, Burger, Waffle, Coffee, Pancake",8,38 min
574,https://www.zomato.com/hyderabad/cakes-life-banjara-hills,Cakes Life,3.7,₹200 for one,Bakery,1,57 min
575,https://www.zomato.com/hyderabad/fantastic-four-cafe-himayath-nagar,Fantastic Four Cafe,4.1,₹200 for one,"Burger, Pasta, Pizza, Sandwich, Chinese, Finger Food, Salad",7,57 min
576,https://www.zomato.com/hyderabad/al-arabian-shawarma-nampally,Al Arabian Shawarma,4.3,₹200 for one,Shawarma,1,52 min
577,https://www.zomato.com/hyderabad/meet-n-pari-foods-charminar,Meet N Pari Foods,3.2,₹200 for one,Italian,1,31 min
578,https://www.zomato.com/hyderabad/nikhils-biryani-house-kacheguda,Nikhil's Biryani House,4.2,₹200 for one,Biryani,1,36 min
579,https://www.zomato.com/hyderabad/mehfil-shawarma-rajendra-nagar,Mehfil Shawarma,3.4,₹200 for one,"Beverages, Shawarma",2,63 min
580,https://www.zomato.com/hyderabad/a-bleu-basil-a-veg-affair-himayath-nagar,A Bleu Basil - A Veg Affair,4.0,₹200 for one,"North Indian, Chinese, Continental, Street Food",4,47 min
581,https://www.zomato.com/hyderabad/amma-andhra-meals-dilsukhnagar,Amma Andhra Meals,4.0,₹200 for one,"Andhra, North Indian",2,44 min
582,https://www.zomato.com/hyderabad/bimbisara-resturant-dilsukhnagar,Bimbisara Resturant,3.2,₹200 for one,"North Indian, Mughlai, Chinese, Biryani, Seafood, Street Food, Shawarma",7,50 min
583,https://www.zomato.com/hyderabad/waffle-frolic-charminar,Waffle Frolic,-,₹200 for one,Waffle,1,31 min
584,https://www.zomato.com/hyderabad/spasta-multicuisine-family-restaurant-1-dilsukhnagar,Spasta Multicuisine Family Restaurant,3.4,₹200 for one,"North Indian, Chinese, Kebab, Mughlai, Biryani, Seafood",6,49 min
585,https://www.zomato.com/hyderabad/spicy-bucket-biryani-saroor-nagar,Spicy Bucket Biryani,3.6,₹300 for one,"Biryani, South Indian",2,46 min
586,https://www.zomato.com/hyderabad/blue-sea-tea-bakery-abids,Blue Sea Tea & Bakery,4.1,₹300 for one,"Tea, Bakery",2,38 min
587,https://www.zomato.com/hyderabad/balaji-dinesh-mithai-bhandar-saroor-nagar,Balaji Dinesh Mithai Bhandar,4.0,₹300 for one,"Mithai, Street Food",2,41 min
588,https://www.zomato.com/hyderabad/eat-n-treat-1-ghansi-bazaar,Eat N Treat,3.4,₹300 for one,"Mithai, Street Food",2,26 min
589,https://www.zomato.com/hyderabad/tasty-foods-musheerabad,Tasty Foods,3.9,₹300 for one,"Andhra, Biryani, South Indian",3,49 min
590,https://www.zomato.com/hyderabad/haji-ali-juice-center-abids,Haji Ali Juice Center,4.1,₹300 for one,"Juices, Shake, Pizza, Rolls, Sandwich, Fast Food, Desserts",7,37 min
591,https://www.zomato.com/hyderabad/pop-toad-bakers-confectioners-abids,Pop Toad Bakers & Confectioners,4.0,₹300 for one,"Pizza, Burger, Fast Food, Bakery",4,45 min
592,https://www.zomato.com/hyderabad/al-hamoor-cafeteria-chandrayanagutta,Al-Hamoor Cafeteria,4.1,₹300 for one,"Roast Chicken, Wraps, Sandwich, Fast Food, Desserts",5,56 min
593,https://www.zomato.com/hyderabad/shahi-haleem-2-charminar,Shahi Haleem,3.8,₹300 for one,"Hyderabadi, Desserts",2,43 min
594,https://www.zomato.com/hyderabad/jalpaan-1-basheer-bagh,Jalpaan,3.6,₹300 for one,North Indian,1,55 min
595,https://www.zomato.com/hyderabad/sri-sapthagiri-restaurant-bar-meerpet,Sri Sapthagiri Restaurant & Bar,4.0,₹300 for one,"North Indian, Biryani, Chinese",3,52 min
596,https://www.zomato.com/hyderabad/sumaakshi-fast-food-adda-narayanguda,Sumaakshi Fast Food Adda,4.2,₹300 for one,Chinese,1,47 min
597,https://www.zomato.com/hyderabad/fabelle-chocolates-himayath-nagar,Fabelle Chocolates,4.0,₹350 for one,"Bakery, Desserts, Beverages, Ice Cream, Juices, Bengali",6,43 min
598,https://www.zomato.com/hyderabad/khichdi-central-1-abids,Khichdi Central,3.4,₹350 for one,"Healthy Food, North Indian, Pasta, Beverages",4,43 min
599,https://www.zomato.com/hyderabad/mmk-kitchens-2-dilsukhnagar,MMK Kitchen's,3.9,₹350 for one,"South Indian, Shawarma, Chinese, Biryani",4,53 min
600,https://www.zomato.com/hyderabad/food-city-restaurant-saroor-nagar,Food City Restaurant,-,₹350 for one,"Sandwich, Fast Food, Chinese, Pizza, Burger, Shake, Beverages",7,42 min
601,https://www.zomato.com/hyderabad/hive-honey-cake-masab-tank,Hive Honey Cake,4.0,₹350 for one,"Bakery, Desserts",2,50 min
602,https://www.zomato.com/hyderabad/mahboob-bakers-chandrayanagutta,Mahboob Bakers,4.0,₹350 for one,"Bakery, Desserts, Fast Food",3,34 min
603,https://www.zomato.com/hyderabad/we-chitram-dilsukhnagar,We Chitram,3.7,₹350 for one,"Momos, Fast Food, Street Food, Shake, Beverages",5,48 min
604,https://www.zomato.com/hyderabad/naidugari-kunda-biryani-dilsukhnagar,Naidugari Kunda Biryani,New,₹350 for one,"Biryani, South Indian, Chinese",3,48 min
605,https://www.zomato.com/hyderabad/moin-chakana-nampally,Moin Chakana,3.6,₹350 for one,"South Indian, Hyderabadi",2,44 min
606,https://www.zomato.com/hyderabad/francais-pizza-rajendra-nagar,Francais Pizza,2.9,₹350 for one,"Pizza, Fast Food",2,66 min
607,https://www.zomato.com/hyderabad/11-spices-multi-cusine-restaurant-masab-tank,11 Spices Multi Cusine Restaurant,3.8,₹350 for one,"Biryani, Chinese, Arabian, Afghan, Mandi, Sichuan",6,55 min
608,https://www.zomato.com/hyderabad/clove-the-platinum-hotel-himayath-nagar,Clove - The Platinum Hotel,3.7,₹350 for one,"Chinese, North Indian, Italian, Continental, Fast Food, Desserts, Ice Cream, Beverages",8,54 min
609,https://www.zomato.com/hyderabad/lassi-falooda-co-himayath-nagar,Lassi & Falooda Co.,3.9,₹150 for one,"Desserts, Beverages",2,47 min
610,https://www.zomato.com/hyderabad/as-kunafa-chandrayanagutta,AS Kunafa,4.3,₹150 for one,Desserts,1,66 min
611,https://www.zomato.com/hyderabad/burger-it-up-dilsukhnagar,Burger It Up,4.2,₹150 for one,"Burger, American, Fast Food, Desserts, Shake, Beverages",6,55 min
612,https://www.zomato.com/hyderabad/dude-wheres-my-burger-dilsukhnagar,Dude! Where's My Burger,3.4,₹150 for one,"Burger, Pizza, Sandwich, Wraps, Lebanese, Fast Food, Beverages",7,43 min
613,https://www.zomato.com/hyderabad/old-mumbai-ice-cream-malakpet,Old Mumbai Ice Cream,3.8,₹150 for one,"Ice Cream, Desserts, Shake, Beverages",4,40 min
614,https://www.zomato.com/hyderabad/naan-munshi-sahab-nampally,Naan Munshi Sahab,4.0,₹150 for one,North Indian,1,35 min
615,https://www.zomato.com/hyderabad/prem-di-rasoi-abids,Prem Di Rasoi,4.0,₹150 for one,"North Indian, Chinese, Beverages, Shake, Pizza",5,40 min
616,https://www.zomato.com/hyderabad/dubai-fried-chicken-mutton-charminar,Dubai Fried Chicken & Mutton,3.8,₹150 for one,"Fast Food, Burger",2,49 min
617,https://www.zomato.com/hyderabad/pizza-pub-3-nallakunta,Pizza Pub,-,₹150 for one,"Pizza, Burger, Sandwich, Fast Food, Beverages, Shake",6,62 min
618,https://www.zomato.com/hyderabad/jai-durga-maa-apna-taste-himayath-nagar,Jai Durga Maa Apna Taste,4.3,₹150 for one,"North Indian, Beverages, Desserts",3,52 min
619,https://www.zomato.com/hyderabad/lazeez-fast-food-mehdipatnam,Lazeez Fast Food,3.6,₹150 for one,"Chinese, Sichuan",2,60 min
620,https://www.zomato.com/hyderabad/momo-street-1-panjagutta,Momo Street,-,₹150 for one,"Momos, Chinese, Fast Food, Beverages",4,65 min
621,https://www.zomato.com/hyderabad/a-m-tiffin-centre-1-narayanguda,A M Tiffin Centre,4.0,₹100 for one,South Indian,1,33 min
622,https://www.zomato.com/hyderabad/the-vintage-restaurant-bar-rtc-x-roads,The Vintage Restaurant & Bar,4.0,₹100 for one,"North Indian, Chinese, Biryani, Mughlai, Kebab",5,66 min
623,https://www.zomato.com/hyderabad/mi-tiffin-center-chinese-fast-food-saroor-nagar,MI Tiffin Center & Chinese Fast Food,New,₹100 for one,"Chinese, Sichuan",2,40 min
624,https://www.zomato.com/hyderabad/biryani-house-6-charminar,Biryani House,3.2,₹100 for one,"North Indian, Fast Food, Desserts",3,43 min
625,https://www.zomato.com/hyderabad/krishna-idlis-dosas-abids,Krishna Idli's & Dosa's,3.6,₹100 for one,"South Indian, Fast Food",2,41 min
626,https://www.zomato.com/hyderabad/mana-telangana-ruchulu-saroor-nagar,Mana Telangana Ruchulu,4.3,₹100 for one,"South Indian, Andhra",2,47 min
627,https://www.zomato.com/hyderabad/ali-babas-mandi-saroor-nagar,Ali Baba’s Mandi,3.7,₹100 for one,"Arabian, Mandi, Mughlai, Kebab, Desserts",5,49 min
628,https://www.zomato.com/hyderabad/arabian-mandi-and-shawarma-1-malakpet,Arabian Mandi And Shawarma,-,₹100 for one,"Mandi, Shawarma",2,37 min
629,https://www.zomato.com/hyderabad/andhra-bagara-rice-chicken-curry-and-andhra-veg-meal-dilsukhnagar,Andhra Bagara Rice Chicken Curry And Andhra Veg Meal,3.2,₹100 for one,"South Indian, Andhra, Street Food",3,50 min
630,https://www.zomato.com/hyderabad/cyan-cafe-malakpet,Cyan Cafe,4.2,₹100 for one,"Sandwich, Pizza, Burger, Fast Food",4,57 min
631,https://www.zomato.com/hyderabad/falooda-shop-dilsukhnagar,Falooda Shop,3.7,₹100 for one,"Desserts, Beverages",2,42 min
632,https://www.zomato.com/hyderabad/padmavathi-tiffins-dilsukhnagar,Padmavathi Tiffins,3.9,₹100 for one,South Indian,1,49 min
633,https://www.zomato.com/hyderabad/new-ali-cafe-1-charminar,New Ali Cafe,4.0,₹50 for one,"Hyderabadi, Biryani",2,30 min
634,https://www.zomato.com/hyderabad/radhe-family-dhaba-himayath-nagar,Radhe Family Dhaba,3.8,₹50 for one,"Chinese, North Indian",2,56 min
635,https://www.zomato.com/hyderabad/new-alams-biryani-and-fast-food-charminar,New Alams Biryani And Fast Food,New,₹50 for one,"North Indian, Chinese, Street Food",3,38 min
636,https://www.zomato.com/hyderabad/amma-garu-aya-garu-andhra-ruchulu-saroor-nagar,Amma Garu Aya Garu Andhra Ruchulu,3.4,₹50 for one,"Andhra, South Indian",2,44 min
637,https://www.zomato.com/hyderabad/archana-multi-foods-himayath-nagar,Archana Multi Foods,4.1,₹50 for one,"South Indian, Chinese, North Indian, Sandwich",4,47 min
638,https://www.zomato.com/hyderabad/cakes-king-1-banjara-hills,Cakes King,3.4,₹50 for one,"Bakery, Desserts",2,74 min
639,https://www.zomato.com/hyderabad/shree-balaji-suraj-mithai-bhandar-meerpet,Shree Balaji Suraj Mithai Bhandar,3.8,₹50 for one,"Mithai, Street Food",2,45 min
640,https://www.zomato.com/hyderabad/chinna-inti-foods-curries-dilsukhnagar,Chinna Inti Foods Curries,3.5,₹50 for one,"South Indian, Hyderabadi",2,44 min
641,https://www.zomato.com/hyderabad/palace-heights-abids,Palace Heights,4.0,₹50 for one,"Continental, Chinese, Mughlai, North Indian, Desserts, Beverages, Shake",7,63 min
642,https://www.zomato.com/hyderabad/famous-chat-bandar-nampally,Famous Chat Bandar,-,₹50 for one,Street Food,1,47 min
643,https://www.zomato.com/hyderabad/lebanese-doner-chandrayanagutta,Lebanese Doner,3.3,₹50 for one,"Fast Food, North Indian, Juices, Shawarma",4,40 min
644,https://www.zomato.com/hyderabad/la-mama-masab-tank,La Mama,3.9,₹50 for one,"Fast Food, Burger, Lebanese",3,71 min
645,https://www.zomato.com/hyderabad/mandi-at-arabia-falaknuma,Mandi At Arabia,-,₹500 for one,"Arabian, Mughlai, Mandi, Beverages",4,40 min
646,https://www.zomato.com/hyderabad/sri-lakshmi-fast-food-dilsukhnagar,Sri Lakshmi Fast Food,4.0,₹500 for one,Chinese,1,45 min
647,https://www.zomato.com/hyderabad/cakes-pastries-banjara-hills,Cakes & Pastries,3.9,₹500 for one,"Bakery, Desserts",2,73 min
648,https://www.zomato.com/hyderabad/lucky-lucky-dilsukhnagar,Lucky Lucky,3.3,₹500 for one,"Chinese, Biryani",2,49 min
649,https://www.zomato.com/hyderabad/sri-sai-laxmi-curries-point-4-dilsukhnagar,Sri Sai Laxmi Curries Point,4.0,₹500 for one,"Andhra, Street Food",2,42 min
650,https://www.zomato.com/hyderabad/vaishnavi-chat-bandar-charminar,Vaishnavi Chat Bandar,3.1,₹500 for one,"North Indian, Chinese, Street Food, Juices",4,35 min
651,https://www.zomato.com/hyderabad/msa-brite-restaurant-attapur,MSA Brite Restaurant,3.5,₹500 for one,Fast Food,1,40 min
652,https://www.zomato.com/hyderabad/saakshi-biryani-house-dilsukhnagar,Saakshi Biryani House,3.4,₹500 for one,Biryani,1,53 min
653,https://www.zomato.com/hyderabad/amore-gelato-dilsukhnagar,Amore Gelato,New,₹500 for one,"Ice Cream, Desserts",2,47 min
654,https://www.zomato.com/hyderabad/andhra-inti-curries-2-dilsukhnagar,Andhra Inti Curries,3.1,₹500 for one,"Andhra, Street Food",2,44 min
655,https://www.zomato.com/hyderabad/gopal-vada-pav-kacheguda,Gopal Vada Pav,3.6,₹500 for one,"Street Food, Fast Food, Sandwich, Shake",4,46 min
656,https://www.zomato.com/hyderabad/sjd-tea-cafe-koti,SJD Tea Cafe,3.1,₹500 for one,"Tea, Beverages",2,29 min
657,https://www.zomato.com/hyderabad/feel-in-saudia-charminar,Feel in Saudia,3.7,₹100 for one,"Lebanese, Beverages",2,32 min
658,https://www.zomato.com/hyderabad/hotel-miskeen-ghansi-bazaar,Hotel Miskeen,3.8,₹100 for one,"Mughlai, Hyderabadi",2,26 min
659,https://www.zomato.com/hyderabad/arabian-shawarma-burger-nampally,Arabian Shawarma & Burger,3.8,₹100 for one,"Burger, Fast Food, Beverages, Desserts, Shawarma",5,41 min
660,https://www.zomato.com/hyderabad/shabab-bait-al-mandi-abids,Shabab Bait Al Mandi,4.1,₹100 for one,"Arabian, Mughlai, Kebab, Desserts",4,43 min
661,https://www.zomato.com/hyderabad/a1-golden-fast-food-and-tea-point-amberpet,A1 Golden Fast Food And Tea Point,3.9,₹100 for one,"Chinese, Street Food",2,49 min
662,https://www.zomato.com/hyderabad/kings-food-court-abids,Kings Food Court,3.5,₹100 for one,"North Indian, Chinese, Sichuan",3,38 min
663,https://www.zomato.com/hyderabad/zain-sweets-charminar,Zain Sweets,3.8,₹100 for one,Mithai,1,47 min
664,https://www.zomato.com/hyderabad/momo-crave-by-avs-smokebox-malakpet,Momo Crave By AV's Smokebox,4.0,₹100 for one,"Momos, Fast Food",2,55 min
665,https://www.zomato.com/hyderabad/la-milano-pizzeria-himayath-nagar,La Milano Pizzeria,3.9,₹100 for one,"Pizza, Pasta, Fast Food",3,60 min
666,https://www.zomato.com/hyderabad/pizza-fun-1-rtc-x-roads,Pizza Fun,3.2,₹100 for one,"Pizza, Fast Food, Beverages",3,60 min
667,https://www.zomato.com/hyderabad/pista-kashmiri-tea-restaurant-charminar,Pista Kashmiri Tea Restaurant,3.6,₹100 for one,"Tea, Coffee, Beverages",3,34 min
668,https://www.zomato.com/hyderabad/munch-chow-cafeteria-saroor-nagar,Munch Chow Cafeteria,-,₹100 for one,"Chinese, Seafood, Sichuan",3,41 min
669,https://www.zomato.com/hyderabad/juice-and-sandwich-point-1-mehdipatnam,Juice And Sandwich Point,3.9,₹100 for one,"Beverages, Sandwich, Juices, Salad, Healthy Food, Shake",6,65 min
670,https://www.zomato.com/hyderabad/the-kunafa-street-masab-tank,The Kunafa Street,3.1,₹100 for one,Desserts,1,58 min
671,https://www.zomato.com/hyderabad/mana-inti-ruchulu-dilsukhnagar,Mana Inti Ruchulu,4.1,₹100 for one,"South Indian, Andhra",2,43 min
672,https://www.zomato.com/hyderabad/d-4-donut-himayath-nagar,D 4 Donut,4.0,₹100 for one,Desserts,1,40 min
673,https://www.zomato.com/hyderabad/famous-momos-and-fries-charminar,Famous Momos And Fries,-,₹100 for one,"Momos, Fast Food",2,34 min
674,https://www.zomato.com/hyderabad/pagal-panda-rani-gunj-secunderabad,Pagal Panda,3.8,₹100 for one,"Chinese, Beverages, Sichuan",3,59 min
675,https://www.zomato.com/hyderabad/victoria-cafe-amberpet,Victoria Cafe,3.2,₹100 for one,"Chinese, North Indian, Kebab, Shawarma",4,49 min
676,https://www.zomato.com/hyderabad/aroma-food-court-himayath-nagar,Aroma Food Court,4.0,₹100 for one,"South Indian, Chinese",2,36 min
677,https://www.zomato.com/hyderabad/aamantran-pure-veg-musheerabad,Aamantran Pure Veg,3.7,₹100 for one,"North Indian, Chinese, Salad, Continental, Desserts, Beverages",6,43 min
678,https://www.zomato.com/hyderabad/ramadevi-curry-point-mess-dilsukhnagar,Ramadevi Curry Point & Mess,3.4,₹100 for one,"South Indian, Biryani, North Indian",3,45 min
679,https://www.zomato.com/hyderabad/dessi-cuppa-dilsukhnagar,Dessi Cuppa,3.9,₹100 for one,"Beverages, Fast Food",2,42 min
680,https://www.zomato.com/hyderabad/new-mandi-house-l-b-nagar,New Mandi House,4.1,₹100 for one,Mandi,1,46 min
681,https://www.zomato.com/hyderabad/gafoor-ice-cream-nampally,Gafoor Ice Cream,4.3,₹100 for one,"Ice Cream, Desserts",2,36 min
682,https://www.zomato.com/hyderabad/healthy-food-restaurant-charminar,Healthy Food Restaurant,3.9,₹100 for one,"South Indian, Beverages",2,39 min
683,https://www.zomato.com/hyderabad/h-s-kitchen-chandrayanagutta,H S Kitchen,3.2,₹100 for one,"North Indian, Pasta, Street Food",3,79 min
